2018, BD,21/04/2020 19:44,0.333333,BD,32
2019, RX,22/04/2020 08:00,1,BD,32
2021, HP,22/04/2020 12:59,1,BD,32
2022, RX,22/04/2020 14:28,1,BD,32
2024, HP,23/04/2020 06:49,0.5,BD,32
2025, NV,23/04/2020 14:39,0.333333,BD,32
2026, CL,23/04/2020 17:11,1,BD,32
2027, CL,23/04/2020 17:31,0.5,BD,32
2029, HP,24/04/2020 12:08,0.5,BD,32
2030, HP,24/04/2020 14:06,0.25,BD,32
2031, NV,24/04/2020 17:08,0.5,BD,32
2032, CL,24/04/2020 19:59,1,BD,32
2033, RX,25/04/2020 07:56,1,BD,32
2035, HP,26/04/2020 09:55,0.25,BD,32
2037, HP,26/04/2020 14:20,1,BD,32
2038, RX,26/04/2020 16:08,1,BD,32
2039, CL,26/04/2020 20:37,0.5,BD,32
2040, RX,26/04/2020 20:42,1,BD,32
2041, CL,26/04/2020 21:41,0.5,BD,32
2042, RX,26/04/2020 22:11,1,BD,32
2043, CL,26/04/2020 22:25,0.5,BD,32
2046, RX,26/04/2020 23:45,1,BD,32
2047, CL,27/04/2020 00:09,0.5,BD,32
2048, RX,27/04/2020 00:14,1,BD,32
2049, CL,27/04/2020 00:59,0.5,BD,32
2050, RX,27/04/2020 11:50,1,BD,32
2051, CL,27/04/2020 11:55,0.5,BD,32
2052, RX,27/04/2020 12:35,1,BD,32
2054, CL,27/04/2020 17:48,0.333333,BD,32
2055, HP,28/04/2020 08:51,0.5,BD,32
2057, EX,28/04/2020 11:08,1,BD,32
2058, CL,28/04/2020 14:00,0.5,BD,32
2060, NV,29/04/2020 12:09,0.166667,BD,32
2061, RX,29/04/2020 17:08,0.5,BD,32
2062, CL,29/04/2020 20:19,0.5,BD,32
2063, HP,30/04/2020 08:01,0.5,BD,32
2064, HP,30/04/2020 13:19,1,BD,32
2066, CL,30/04/2020 17:10,0.5,BD,32
2067, BD,30/04/2020 22:09,0.5,BD,32
2068, NV,01/05/2020 13:07,0.2,BD,32
2070, HP,01/05/2020 17:07,0.333333,BD,32
2071, NV,01/05/2020 23:54,0.0625,BD,32
